raw_comp_writers_text,CLEAN_TEXT,split_phrases,preproc_phrases,PREPROC_OUT,"ner_phrases_pos_(0.25, 0.25)","NER_OUT_pos_(0.25, 0.25)",ner_phrases_drop_(0.25),NER_OUT_drop_(0.25),reference_labels,predicted_labels,all_phrases,edit_distance,bleu_score
Jacques Autreau et Le Valois d' Orville/Jean-Philippe Rameau (1683-1764),Jacques/Autreau/et/Le/Valois/d'/Orville/Jean-Philippe/Rameau,"[""Jacques Autreau et Le Valois d' Orville"", 'Jean-Philippe Rameau', '1683-1764']","[""Jacques Autreau et Le Valois d' Orville"", 'Jean-Philippe Rameau', '1683-1764']",Jacques Autreau et Le Valois d' Orville/Jean-Philippe Rameau/1683-1764,"[""Jacques Autreau et Le Valois d' Orville"", 'Jean-Philippe Rameau']",Jacques Autreau et Le Valois d' Orville/Jean-Philippe Rameau,['Jean-Philippe Rameau'],Jean-Philippe Rameau,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Jean-Philippe Rameau', ""d'"", 'Jacques', 'Autreau', 'Jean-Philippe', 'Valois', 'et', 'Rameau', 'Le', 'Orville']",40,0.0
"<Unknown>/Frost, Kirk",Frost/Kirk,"['<Unknown>', 'Frost', 'Kirk']","['Frost', 'Kirk']",Frost/Kirk,"['Frost', 'Kirk']",Frost/Kirk,"['Frost', 'Kirk']",Frost/Kirk,"[1, 1]","[1, 1]","['Frost', 'Kirk']",0,1.0
Nikolay Lourens,Nikolay Lourens,['Nikolay Lourens'],['Nikolay Lourens'],Nikolay Lourens,['Nikolay Lourens'],Nikolay Lourens,['Nikolay Lourens'],Nikolay Lourens,[1],[1],['Nikolay Lourens'],0,1.0
Peter Baumann,Peter Baumann,['Peter Baumann'],['Peter Baumann'],Peter Baumann,['Peter Baumann'],Peter Baumann,['Peter Baumann'],Peter Baumann,[1],[1],['Peter Baumann'],0,1.0
Kirk Gibson Teachout/Kirk Kienzle Smith,Kirk Gibson Teachout/Kirk Kienzle Smith,"['Kirk Gibson Teachout', 'Kirk Kienzle Smith']","['Kirk Gibson Teachout', 'Kirk Kienzle Smith']",Kirk Gibson Teachout/Kirk Kienzle Smith,"['Kirk Gibson Teachout', 'Kirk Kienzle Smith']",Kirk Gibson Teachout/Kirk Kienzle Smith,"['Kirk Gibson Teachout', 'Kirk Kienzle Smith']",Kirk Gibson Teachout/Kirk Kienzle Smith,"[1, 1]","[1, 1]","['Kirk Gibson Teachout', 'Kirk Kienzle Smith']",0,1.0
Carlton Ridenhour/Gary Rinaldo/Sean Devore/Thomas Marvell/Alvertis Isbell,Carlton/Ridenhour/Gary/Rinaldo/Sean/Devore/Thomas/Marvell/Alvertis/Isbell,"['Carlton Ridenhour', 'Gary Rinaldo', 'Sean Devore', 'Thomas Marvell', 'Alvertis Isbell']","['Carlton Ridenhour', 'Gary Rinaldo', 'Sean Devore', 'Thomas Marvell', 'Alvertis Isbell']",Carlton Ridenhour/Gary Rinaldo/Sean Devore/Thomas Marvell/Alvertis Isbell,"['Carlton Ridenhour', 'Gary Rinaldo', 'Sean Devore', 'Thomas Marvell', 'Alvertis Isbell']",Carlton Ridenhour/Gary Rinaldo/Sean Devore/Thomas Marvell/Alvertis Isbell,"['Carlton Ridenhour', 'Gary Rinaldo', 'Sean Devore', 'Thomas Marvell']",Carlton Ridenhour/Gary Rinaldo/Sean Devore/Thomas Marvell,"[1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['Ridenhour', 'Thomas Marvell', 'Thomas', 'Sean Devore', 'Gary Rinaldo', 'Gary', 'Marvell', 'Isbell', 'Devore', 'Carlton Ridenhour', 'Carlton', 'Sean', 'Rinaldo', 'Alvertis']",54,0.0
Franz Berwald,Franz Berwald,['Franz Berwald'],['Franz Berwald'],Franz Berwald,['Franz Berwald'],Franz Berwald,['Franz Berwald'],Franz Berwald,[1],[1],['Franz Berwald'],0,1.0
Madeen Sk & Kamal Eslavath,Madeen Sk/Kamal Eslavath,"['Madeen Sk', 'Kamal Eslavath']","['Madeen Sk', 'Kamal Eslavath']",Madeen Sk/Kamal Eslavath,"['Madeen Sk', 'Kamal Eslavath']",Madeen Sk/Kamal Eslavath,"['Madeen Sk', 'Kamal Eslavath']",Madeen Sk/Kamal Eslavath,"[1, 1]","[1, 1]","['Madeen Sk', 'Kamal Eslavath']",0,1.0
Giselle,,['Giselle'],['Giselle'],Giselle,['Giselle'],Giselle,['Giselle'],Giselle,[0],[1],['Giselle'],7,0.0
Ariel,Ariel,['Ariel'],['Ariel'],Ariel,['Ariel'],Ariel,['Ariel'],Ariel,[1],[1],['Ariel'],0,1.0
Torsten Pröfrock,,['Torsten Pröfrock'],['Torsten Pröfrock'],Torsten Pröfrock,['Torsten Pröfrock'],Torsten Pröfrock,['Torsten Pröfrock'],Torsten Pröfrock,[0],[1],['Torsten Pröfrock'],16,0.0
State Azure & One Arc Degree,State Azure/One Arc Degree,"['State Azure', 'One Arc Degree']","['State Azure', 'One Arc Degree']",State Azure/One Arc Degree,"['State Azure', 'One Arc Degree']",State Azure/One Arc Degree,[],,"[1, 1]","[0, 0]","['One Arc Degree', 'State Azure']",26,0.0
Alberto Domínguez/Gonzalo Curiel,Alberto Domínguez/Gonzalo Curiel,"['Alberto Domínguez', 'Gonzalo Curiel']","['Alberto Domínguez', 'Gonzalo Curiel']",Alberto Domínguez/Gonzalo Curiel,"['Alberto Domínguez', 'Gonzalo Curiel']",Alberto Domínguez/Gonzalo Curiel,"['Alberto Domínguez', 'Gonzalo Curiel']",Alberto Domínguez/Gonzalo Curiel,"[1, 1]","[1, 1]","['Gonzalo Curiel', 'Alberto Domínguez']",0,1.0
Jane Antonia Cornish,Jane Antonia Cornish,['Jane Antonia Cornish'],['Jane Antonia Cornish'],Jane Antonia Cornish,['Jane Antonia Cornish'],Jane Antonia Cornish,['Jane Antonia Cornish'],Jane Antonia Cornish,[1],[1],['Jane Antonia Cornish'],0,1.0
David Bowie,David Bowie,['David Bowie'],['David Bowie'],David Bowie,['David Bowie'],David Bowie,['David Bowie'],David Bowie,[1],[1],['David Bowie'],0,1.0
Surdeep Sawan/Avichal Sahani,Surdeep Sawan/Avichal Sahani,"['Surdeep Sawan', 'Avichal Sahani']","['Surdeep Sawan', 'Avichal Sahani']",Surdeep Sawan/Avichal Sahani,"['Surdeep Sawan', 'Avichal Sahani']",Surdeep Sawan/Avichal Sahani,"['Surdeep Sawan', 'Avichal Sahani']",Surdeep Sawan/Avichal Sahani,"[1, 1]","[1, 1]","['Surdeep Sawan', 'Avichal Sahani']",0,1.0
Myka 9/Michael Troy,Myka 9/Michael Troy,"['Myka 9', 'Michael Troy']","['Myka 9', 'Michael Troy']",Myka 9/Michael Troy,"['Myka 9', 'Michael Troy']",Myka 9/Michael Troy,"['Myka 9', 'Michael Troy']",Myka 9/Michael Troy,"[1, 1]","[1, 1]","['Michael Troy', 'Myka 9']",0,1.0
"Tee Grizzley,Skilla Baby,Wayne616,Pablo616",Tee Grizzley/Skilla Baby/Wayne616/Pablo616,"['Tee Grizzley', 'Skilla Baby', 'Wayne616', 'Pablo616']","['Tee Grizzley', 'Skilla Baby', 'Wayne616', 'Pablo616']",Tee Grizzley/Skilla Baby/Wayne616/Pablo616,"['Tee Grizzley', 'Skilla Baby', 'Wayne616', 'Pablo616']",Tee Grizzley/Skilla Baby/Wayne616/Pablo616,"['Tee Grizzley', 'Wayne616', 'Pablo616']",Tee Grizzley/Wayne616/Pablo616,"[1, 1, 1, 1]","[1, 1, 0, 1]","['Tee Grizzley', 'Wayne616', 'Skilla Baby', 'Pablo616']",12,0.5066641486392106
Wrecia Holloway/James McDougal,Wrecia Holloway/James McDougal,"['Wrecia Holloway', 'James McDougal']","['Wrecia Holloway', 'James McDougal']",Wrecia Holloway/James McDougal,"['Wrecia Holloway', 'James McDougal']",Wrecia Holloway/James McDougal,"['Wrecia Holloway', 'James McDougal']",Wrecia Holloway/James McDougal,"[1, 1]","[1, 1]","['Wrecia Holloway', 'James McDougal']",0,1.0
Mylon LeFevre/Felix Pappalardi,Mylon LeFevre/Felix Pappalardi,"['Mylon LeFevre', 'Felix Pappalardi']","['Mylon LeFevre', 'Felix Pappalardi']",Mylon LeFevre/Felix Pappalardi,"['Mylon LeFevre', 'Felix Pappalardi']",Mylon LeFevre/Felix Pappalardi,"['Mylon LeFevre', 'Felix Pappalardi']",Mylon LeFevre/Felix Pappalardi,"[1, 1]","[1, 1]","['Felix Pappalardi', 'Mylon LeFevre']",0,1.0
ALI TAMPOSI/ANDREW WOTMAN/BRIAN LEE/CARL  ROSEN/EDWIN PEREZ/JUSTIN BIEBER/LOUIS BELL/LUMIDEE CEDENO/STEPHEN MARSDEN/TEDDY MENDEZ/WILLIAM GRIGAHCINE,ALI TAMPOSI/ANDREW WOTMAN/BRIAN LEE/CARL  ROSEN/EDWIN PEREZ/JUSTIN BIEBER/LOUIS BELL/LUMIDEE CEDENO/STEPHEN MARSDEN/TEDDY MENDEZ/WILLIAM GRIGAHCINE,"['ALI TAMPOSI', 'ANDREW WOTMAN', 'BRIAN LEE', 'CARL  ROSEN', 'EDWIN PEREZ', 'JUSTIN BIEBER', 'LOUIS BELL', 'LUMIDEE CEDENO', 'STEPHEN MARSDEN', 'TEDDY MENDEZ', 'WILLIAM GRIGAHCINE']","['ALI TAMPOSI', 'ANDREW WOTMAN', 'BRIAN LEE', 'CARL ROSEN', 'EDWIN PEREZ', 'JUSTIN BIEBER', 'LOUIS BELL', 'LUMIDEE CEDENO', 'STEPHEN MARSDEN', 'TEDDY MENDEZ', 'WILLIAM GRIGAHCINE']",ALI TAMPOSI/ANDREW WOTMAN/BRIAN LEE/CARL ROSEN/EDWIN PEREZ/JUSTIN BIEBER/LOUIS BELL/LUMIDEE CEDENO/STEPHEN MARSDEN/TEDDY MENDEZ/WILLIAM GRIGAHCINE,"['ALI TAMPOSI', 'ANDREW WOTMAN', 'BRIAN LEE', 'CARL ROSEN', 'EDWIN PEREZ', 'JUSTIN BIEBER', 'LOUIS BELL', 'LUMIDEE CEDENO', 'STEPHEN MARSDEN', 'TEDDY MENDEZ', 'WILLIAM GRIGAHCINE']",ALI TAMPOSI/ANDREW WOTMAN/BRIAN LEE/CARL ROSEN/EDWIN PEREZ/JUSTIN BIEBER/LOUIS BELL/LUMIDEE CEDENO/STEPHEN MARSDEN/TEDDY MENDEZ/WILLIAM GRIGAHCINE,"['ALI TAMPOSI', 'ANDREW WOTMAN', 'BRIAN LEE', 'CARL ROSEN', 'EDWIN PEREZ', 'JUSTIN BIEBER', 'STEPHEN MARSDEN', 'TEDDY MENDEZ', 'WILLIAM GRIGAHCINE']",ALI TAMPOSI/ANDREW WOTMAN/BRIAN LEE/CARL ROSEN/EDWIN PEREZ/JUSTIN BIEBER/STEPHEN MARSDEN/TEDDY MENDEZ/WILLIAM GRIGAHCINE,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","['LUMIDEE CEDENO', 'LOUIS BELL', 'TEDDY MENDEZ', 'STEPHEN MARSDEN', 'ANDREW WOTMAN', 'WILLIAM GRIGAHCINE', 'BRIAN LEE', 'ALI TAMPOSI', 'EDWIN PEREZ', 'JUSTIN BIEBER', 'CARL  ROSEN', 'CARL ROSEN']",27,0.5968344216828737
Raju Punjabi/Vikas Gaana Bajana,Raju Punjabi/Vikas Gaana Bajana,"['Raju Punjabi', 'Vikas Gaana Bajana']","['Raju Punjabi', 'Vikas Gaana Bajana']",Raju Punjabi/Vikas Gaana Bajana,"['Raju Punjabi', 'Vikas Gaana Bajana']",Raju Punjabi/Vikas Gaana Bajana,"['Raju Punjabi', 'Vikas Gaana Bajana']",Raju Punjabi/Vikas Gaana Bajana,"[1, 1]","[1, 1]","['Raju Punjabi', 'Vikas Gaana Bajana']",0,1.0
"Dylan Joseph, Will Garrett, CAde Anderson, Eric Michael & Tony Ferrari",Dylan Joseph/Will Garrett/CAde Anderson/Eric Michael /Tony Ferrari,"['Dylan Joseph', 'Will Garrett', 'CAde Anderson', 'Eric Michael', 'Tony Ferrari']","['Dylan Joseph', 'Will Garrett', 'CAde Anderson', 'Eric Michael', 'Tony Ferrari']",Dylan Joseph/Will Garrett/CAde Anderson/Eric Michael/Tony Ferrari,"['Dylan Joseph', 'Will Garrett', 'CAde Anderson', 'Eric Michael', 'Tony Ferrari']",Dylan Joseph/Will Garrett/CAde Anderson/Eric Michael/Tony Ferrari,"['Dylan Joseph', 'Will Garrett', 'CAde Anderson', 'Eric Michael', 'Tony Ferrari']",Dylan Joseph/Will Garrett/CAde Anderson/Eric Michael/Tony Ferrari,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['CAde Anderson', 'Dylan Joseph', 'Will Garrett', 'Eric Michael', 'Tony Ferrari']",0,1.0
Antonio Tamarki Baldwin,Antonio Tamarki Baldwin,['Antonio Tamarki Baldwin'],['Antonio Tamarki Baldwin'],Antonio Tamarki Baldwin,['Antonio Tamarki Baldwin'],Antonio Tamarki Baldwin,['Antonio Tamarki Baldwin'],Antonio Tamarki Baldwin,[1],[1],['Antonio Tamarki Baldwin'],0,1.0
M. Pushkina/Barri Khey/Margarita Anatol'evna Pushkina/D. Koymans/Dzhordzh Koymans/B. Khey,M. Pushkina/Barri Khey/Margarita Anatol'evna Pushkina/D. Koymans/Dzhordzh Koymans/B. Khey,"['M. Pushkina', 'Barri Khey', ""Margarita Anatol'evna Pushkina"", 'D. Koymans', 'Dzhordzh Koymans', 'B. Khey']","['M. Pushkina', 'Barri Khey', ""Margarita Anatol'evna Pushkina"", 'D. Koymans', 'Dzhordzh Koymans', 'B. Khey']",M. Pushkina/Barri Khey/Margarita Anatol'evna Pushkina/D. Koymans/Dzhordzh Koymans/B. Khey,"['M. Pushkina', 'Barri Khey', ""Margarita Anatol'evna Pushkina"", 'D. Koymans', 'Dzhordzh Koymans', 'B. Khey']",M. Pushkina/Barri Khey/Margarita Anatol'evna Pushkina/D. Koymans/Dzhordzh Koymans/B. Khey,"['M. Pushkina', 'Barri Khey', ""Margarita Anatol'evna Pushkina"", 'D. Koymans', 'Dzhordzh Koymans', 'B. Khey']",M. Pushkina/Barri Khey/Margarita Anatol'evna Pushkina/D. Koymans/Dzhordzh Koymans/B. Khey,"[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","['D. Koymans', 'B. Khey', ""Margarita Anatol'evna Pushkina"", 'Dzhordzh Koymans', 'Barri Khey', 'M. Pushkina']",0,1.0
Panuput Sukunyaruk/Prompong Prompanyo/Akarachon Rachapandi/Thanapat Thanakornkarn/Atsawaphong Wongprasoet/Chakthon Khachonchaikun,Panuput Sukunyaruk/Prompong Prompanyo/Akarachon Rachapandi/Thanapat Thanakornkarn/Atsawaphong Wongprasoet/Chakthon Khachonchaikun,"['Panuput Sukunyaruk', 'Prompong Prompanyo', 'Akarachon Rachapandi', 'Thanapat Thanakornkarn', 'Atsawaphong Wongprasoet', 'Chakthon Khachonchaikun']","['Panuput Sukunyaruk', 'Prompong Prompanyo', 'Akarachon Rachapandi', 'Thanapat Thanakornkarn', 'Atsawaphong Wongprasoet', 'Chakthon Khachonchaikun']",Panuput Sukunyaruk/Prompong Prompanyo/Akarachon Rachapandi/Thanapat Thanakornkarn/Atsawaphong Wongprasoet/Chakthon Khachonchaikun,"['Panuput Sukunyaruk', 'Prompong Prompanyo', 'Akarachon Rachapandi', 'Thanapat Thanakornkarn', 'Atsawaphong Wongprasoet', 'Chakthon Khachonchaikun']",Panuput Sukunyaruk/Prompong Prompanyo/Akarachon Rachapandi/Thanapat Thanakornkarn/Atsawaphong Wongprasoet/Chakthon Khachonchaikun,"['Panuput Sukunyaruk', 'Prompong Prompanyo', 'Akarachon Rachapandi', 'Thanapat Thanakornkarn', 'Atsawaphong Wongprasoet', 'Chakthon Khachonchaikun']",Panuput Sukunyaruk/Prompong Prompanyo/Akarachon Rachapandi/Thanapat Thanakornkarn/Atsawaphong Wongprasoet/Chakthon Khachonchaikun,"[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","['Chakthon Khachonchaikun', 'Thanapat Thanakornkarn', 'Prompong Prompanyo', 'Panuput Sukunyaruk', 'Akarachon Rachapandi', 'Atsawaphong Wongprasoet']",0,1.0
Hale Reeves,Hale Reeves,['Hale Reeves'],['Hale Reeves'],Hale Reeves,['Hale Reeves'],Hale Reeves,['Hale Reeves'],Hale Reeves,[1],[1],['Hale Reeves'],0,1.0
Luc De Vos,Luc De Vos,['Luc De Vos'],['Luc De Vos'],Luc De Vos,['Luc De Vos'],Luc De Vos,['Luc De Vos'],Luc De Vos,[1],[1],['Luc De Vos'],0,1.0
Adriano Banchieri,Adriano Banchieri,['Adriano Banchieri'],['Adriano Banchieri'],Adriano Banchieri,['Adriano Banchieri'],Adriano Banchieri,['Adriano Banchieri'],Adriano Banchieri,[1],[1],['Adriano Banchieri'],0,1.0
LANY/King Henry/Sasha Sloan/Mike Crossey/Paul Jason Klein/Jake Clifford Goss/Henry Agincourt Allen,LANY/King Henry/Sasha Sloan/Mike Crossey/Paul Jason Klein/Jake Clifford Goss/Henry Agincourt Allen,"['LANY', 'King Henry', 'Sasha Sloan', 'Mike Crossey', 'Paul Jason Klein', 'Jake Clifford Goss', 'Henry Agincourt Allen']","['LANY', 'King Henry', 'Sasha Sloan', 'Mike Crossey', 'Paul Jason Klein', 'Jake Clifford Goss', 'Henry Agincourt Allen']",LANY/King Henry/Sasha Sloan/Mike Crossey/Paul Jason Klein/Jake Clifford Goss/Henry Agincourt Allen,"['LANY', 'King Henry', 'Sasha Sloan', 'Mike Crossey', 'Paul Jason Klein', 'Jake Clifford Goss', 'Henry Agincourt Allen']",LANY/King Henry/Sasha Sloan/Mike Crossey/Paul Jason Klein/Jake Clifford Goss/Henry Agincourt Allen,"['LANY', 'King Henry', 'Sasha Sloan', 'Mike Crossey', 'Paul Jason Klein', 'Jake Clifford Goss', 'Henry Agincourt Allen']",LANY/King Henry/Sasha Sloan/Mike Crossey/Paul Jason Klein/Jake Clifford Goss/Henry Agincourt Allen,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","['Henry Agincourt Allen', 'King Henry', 'Paul Jason Klein', 'LANY', 'Mike Crossey', 'Sasha Sloan', 'Jake Clifford Goss']",0,1.0
JHMON JONES,,['JHMON JONES'],['JHMON JONES'],JHMON JONES,['JHMON JONES'],JHMON JONES,['JHMON JONES'],JHMON JONES,[0],[1],['JHMON JONES'],11,0.0
Lilah Norris,Lilah Norris,['Lilah Norris'],['Lilah Norris'],Lilah Norris,['Lilah Norris'],Lilah Norris,['Lilah Norris'],Lilah Norris,[1],[1],['Lilah Norris'],0,1.0
Nour Eldin Mohamed,Nour Eldin Mohamed,['Nour Eldin Mohamed'],['Nour Eldin Mohamed'],Nour Eldin Mohamed,['Nour Eldin Mohamed'],Nour Eldin Mohamed,['Nour Eldin Mohamed'],Nour Eldin Mohamed,[1],[1],['Nour Eldin Mohamed'],0,1.0
SIMEONE  JOSEPH M,SIMEONE/JOSEPH/M,['SIMEONE  JOSEPH M'],['SIMEONE JOSEPH M'],SIMEONE JOSEPH M,['SIMEONE JOSEPH M'],SIMEONE JOSEPH M,['SIMEONE JOSEPH M'],SIMEONE JOSEPH M,"[1, 1, 1, 0]","[0, 0, 0, 1]","['M', 'JOSEPH', 'SIMEONE', 'SIMEONE JOSEPH M']",12,0.0
Ultra Publishing,,['Ultra Publishing'],['Ultra'],Ultra,['Ultra'],Ultra,[],,[],[],[],0,0.0
Dmitry Evgrafov/Ta-ku/Philipp Petrenko/Protey Temen/Kyrylo Bulatsev/Oleg Stavitskii/Dmitrii Bezuglyi,Dmitry Evgrafov/Ta-ku/Philipp Petrenko/Protey Temen/Kyrylo Bulatsev/Oleg Stavitskii/Dmitrii Bezuglyi,"['Dmitry Evgrafov', 'Ta-ku', 'Philipp Petrenko', 'Protey Temen', 'Kyrylo Bulatsev', 'Oleg Stavitskii', 'Dmitrii Bezuglyi']","['Dmitry Evgrafov', 'Ta-ku', 'Philipp Petrenko', 'Protey Temen', 'Kyrylo Bulatsev', 'Oleg Stavitskii', 'Dmitrii Bezuglyi']",Dmitry Evgrafov/Ta-ku/Philipp Petrenko/Protey Temen/Kyrylo Bulatsev/Oleg Stavitskii/Dmitrii Bezuglyi,"['Dmitry Evgrafov', 'Ta-ku', 'Philipp Petrenko', 'Protey Temen', 'Kyrylo Bulatsev', 'Oleg Stavitskii', 'Dmitrii Bezuglyi']",Dmitry Evgrafov/Ta-ku/Philipp Petrenko/Protey Temen/Kyrylo Bulatsev/Oleg Stavitskii/Dmitrii Bezuglyi,"['Dmitry Evgrafov', 'Philipp Petrenko', 'Protey Temen', 'Kyrylo Bulatsev', 'Oleg Stavitskii', 'Dmitrii Bezuglyi']",Dmitry Evgrafov/Philipp Petrenko/Protey Temen/Kyrylo Bulatsev/Oleg Stavitskii/Dmitrii Bezuglyi,"[1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1]","['Ta-ku', 'Philipp Petrenko', 'Kyrylo Bulatsev', 'Dmitry Evgrafov', 'Protey Temen', 'Oleg Stavitskii', 'Dmitrii Bezuglyi']",6,0.846481724890614
前田克樹/藤林聖子,,"['前田克樹', '藤林聖子']",[],,[],,[],,[],[],[],0,0.0
Per Gessle,Per Gessle,['Per Gessle'],['Per Gessle'],Per Gessle,['Per Gessle'],Per Gessle,['Per Gessle'],Per Gessle,[1],[1],['Per Gessle'],0,1.0
Tasleem Fazli,Tasleem Fazli,['Tasleem Fazli'],['Tasleem Fazli'],Tasleem Fazli,['Tasleem Fazli'],Tasleem Fazli,['Tasleem Fazli'],Tasleem Fazli,[1],[1],['Tasleem Fazli'],0,1.0
André Manoukian/Grosz,André Manoukian/Grosz,"['André Manoukian', 'Grosz']","['André Manoukian', 'Grosz']",André Manoukian/Grosz,"['André Manoukian', 'Grosz']",André Manoukian/Grosz,"['André Manoukian', 'Grosz']",André Manoukian/Grosz,"[1, 1]","[1, 1]","['André Manoukian', 'Grosz']",0,1.0
Terrell Kennedy,Terrell Kennedy,['Terrell Kennedy'],['Terrell Kennedy'],Terrell Kennedy,['Terrell Kennedy'],Terrell Kennedy,['Terrell Kennedy'],Terrell Kennedy,[1],[1],['Terrell Kennedy'],0,1.0
